scenario,scenario_base,scenario_turns,attachment_size_kb,repeat,expected_fact,turn_index,session_id,enriched_transcript_chars,attachments_total_chars,messages_in_window,anchors_count,summary_chars,tokens_in,tokens_out,cost_usd,latency_ms,cache_hit_kind,last_resolved_tier,latency_budget_passed,cost_budget_passed,memory_drift_passed,memory_drift_score
growing_1,growing,1,0,1,project name: Nimbus,1,3b35585d-6e7c-47c0-8d58-d321f536e7e6,71,0,2,0,0,1085,652,0.00036930000000000003,4171,none,,0,1,1,1.0
growing_1,growing,1,20,1,project name: Nimbus,1,ae03b7c0-9dc6-4360-a80a-715788ac082c,18848,18776,2,0,0,4462,781,0.0007586,4222,none,,0,1,1,1.0
growing_1,growing,1,100,1,project name: Nimbus,1,b13e08bc-fe5b-4397-9874-bee6014cc772,94256,94184,2,0,0,17873,947,0.0021661000000000002,6718,none,,0,1,1,1.0
growing_6,growing,6,0,1,project name: Nimbus,1,fcb6de5f-6281-4b25-a574-07184b613002,71,0,2,0,0,1085,758,0.0004117,4119,none,,0,1,1,1.0
growing_6,growing,6,0,1,scope includes authentication,2,fcb6de5f-6281-4b25-a574-07184b613002,111,0,4,0,0,1920,386,0.0003464,2338,none,,1,1,0,0.0
growing_6,growing,6,0,1,scope includes multi-tenant organizations,3,fcb6de5f-6281-4b25-a574-07184b613002,132,0,6,0,0,2377,484,0.0004313,2876,none,,1,1,0,0.0
growing_6,growing,6,0,1,scope includes audit log,4,fcb6de5f-6281-4b25-a574-07184b613002,107,0,8,0,0,2899,368,0.0004371,2916,none,,1,1,0,0.0
growing_6,growing,6,0,1,scope includes CSV export,5,fcb6de5f-6281-4b25-a574-07184b613002,107,0,10,0,0,3293,371,0.00047770000000000006,2279,none,,1,1,0,0.25
growing_6,growing,6,0,1,scope includes Slack notifications,6,fcb6de5f-6281-4b25-a574-07184b613002,118,0,12,0,0,3705,412,0.0005353000000000001,3269,none,,1,1,0,0.4
growing_6,growing,6,20,1,project name: Nimbus,1,fa5bed36-119a-46e1-9472-e4fcaf8bf023,18848,18776,2,0,0,4462,694,0.0007237999999999999,4043,none,,0,1,1,1.0
